associatedReferences,scientificName,road_length,survey_days,country,Roadkill_rate_ind_km_y,decimalLatitude,decimalLongitude,iucnStatus,rate_category,species,name_change,Split_species,Order.x,status,IslandEndemic,Volancy,Mass,HWI,Habitat.x,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,Genus.x,Species.x,Family.x,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat.y,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity,SpeciesID,Order.y,Family.y,Genus.y,Species.y,Taxonomic_Comments,Extinct_full,Extinct_partial,Marine_full,Marine_partial,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Triplechecked,Migratory_status,Migratory_status_2,Migratory_status_3
Abd Nasir and Zakaria (2024),Amaurornis phoenicurus,60,64,Malaysia,0.190104167,2.748726,102.247852,LC,High,Amaurornis phoenicurus,0,NA,Gruiformes,LC,No,Volant,180,23.2,Wetland,Carnivore,Aquatic predator,19.12,,37.1,18.6,4.4,8.8,50.8,147,33.7,111.5,57.6,Amaurornis,phoenicurus,Rallidae,LC,0,16.1017683835967,5.19295685089021,AquaticAnimals,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Wetland,No,1.87180217690159,1.36287107317628,5.61203261604663,1390,GRUIFORMES,Rallidae,Amaurornis,phoenicurus,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"resident throughout most of range but N popltns migratory, extent of migration and seasonality of occurrence not clear, currently expanding range N",1,directional migratory,partial directional migrant,partial directional migrant
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Accipiter bicolor,80.27,151,Colombia,0.030113598,11.019911,-74.213309,LC,Medium,Accipiter bicolor,0,NA,Accipitriformes,LC,No,Volant,287.5,24.6,Woodland,Carnivore,Vertivore,-10.1,,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,186.3,Accipiter,bicolor,Accipitridae,LC,0,16.4286057768387,5.66136198099445,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147180559945,1.05096912500736,3.02042488614436,1081,ACCIPITRIFORMES,Accipitridae,Accipiter,bicolor,in HBW includes chilensis,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"has been claimed to be sedentary, nomadic or migratory but not supported by data, thought to perform altitud migration in the Andes, confusion with chilensis possible",1,resident,full resident,full resident
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Ardea alba,80.27,151,Colombia,0.060227197,11.019911,-74.213309,LC,Medium,Ardea alba,0,NA,Pelecaniformes,LC,No,Volant,871.3,32.1,Wetland,Carnivore,Aquatic predator,10.02,,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,140.5,Casmerodius,albus,Ardeidae,LC,0,17.8491877506854,6.77002077995403,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,none,Wetland,No,1.31698256122966,1.16467420192303,3.80220813942094,839,PELECANIFORMES,Ardeidae,Ardea,alba,includes previously separate Ardea_modesta; in HBW Egretta_alba and includes race modesta,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"N popltns partially migratory with some dispersive movements, tropical populations generally sedentary, dispersive on a large scale wih possible regular migratory movements and sometimes irruptive in Australia, extensive post-breeding dispersal",1,directional migratory,partial directional migrant,partial directional migrant
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Bubulcus ibis,80.27,151,Colombia,0.060227197,11.019911,-74.213309,LC,Medium,Bubulcus ibis,0,NA,Pelecaniformes,LC,No,Volant,366,29.9,Human Modified,Carnivore,Omnivore,5.1,,63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,90.9,Bubulcus,ibis,Ardeidae,LC,0,17.7012813518095,5.90249671204724,Generalist,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,none,Terrestrial,No,1.50407739677627,1.19802754953329,3.56671182013973,827,PELECANIFORMES,Ardeidae,Bubulcus,ibis,in HBW Bubulcus_ibis includes race coromandus,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,"partially migratory in most of range, tropical popltns generally sedentary, with extensive post-breeding dispersal and far-reaching dispersive movements in search of favourable feeding conditions, some popltns migratory or nomadic moving with rains; has expanded range naturally in 20th century to include Americas",1,directional migratory,partial directional migrant,partial directional migrant
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Buteogallus meridionalis,80.27,151,Colombia,0.030113598,11.019911,-74.213309,LC,Medium,Buteogallus meridionalis,0,NA,Accipitriformes,LC,No,Volant,808,31.1,Grassland,Carnivore,Vertivore,-12.06,,36,24.2,11.6,18.1,93.4,416.4,130.9,287.4,217.4,Buteogallus,meridionalis,Accipitridae,LC,0,16.1604303471682,6.69454968220689,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0,1.1246826503807,3.28840188751681,1111,ACCIPITRIFORMES,Accipitridae,Buteogallus,meridionalis,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"resident over most of range, apparently migratory in S, transition from migratory to resident popltns in S undocumented",1,directional migratory,partial directional migrant,partial directional migrant
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Butorides striata,80.27,151,Colombia,0.060227197,11.019911,-74.213309,LC,Medium,Butorides striata,0,NA,Pelecaniformes,LC,No,Volant,201.5,29.8,Wetland,Carnivore,Aquatic predator,7.56,,69.2,51.8,9.1,11.2,49.7,175.9,53.2,125.5,63.6,Butorides,striata,Ardeidae,LC,0,17.6713025786512,5.30578938138674,AquaticAnimals,GroundForaging,Sedentary,NonCooperative,ExposedElevated,none,Wetland,No,1.50407739677627,1.17250701852345,4.52396013056255,820,PELECANIFORMES,Ardeidae,Butorides,striata,in HBW Butorides_striatus includes races sundevalli and virescens,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,"most races sedentary, N popltns migratory, some with post-breeding dispersal or local or erratic movements, sometimes leading to irruptions",1,directional migratory,partial directional migrant,partial directional migrant
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Cairina moschata,80.27,151,Colombia,0.030113598,11.019911,-74.213309,LC,Medium,Cairina moschata,0,NA,Anseriformes,LC,No,Volant,2415.8,35.2,Wetland,Omnivore,Omnivore,-6.9,,65.9,38.7,22.6,15.7,56.2,345,124,226.8,160.2,Cairina,moschata,Anatidae,LC,0,16.4679229038852,7.78977749530588,AquaticAnimals,GroundForaging,Sedentary,NonCooperative,Cavity,none,Wetland,No,2.4423470353692,1.06778997237244,3.10906095886099,426,ANSERIFORMES,Anatidae,Cairina,moschata,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"mainly sedentary, subject to local movements linked with water availability during dry season, with occasional appearances outside normal breeding range",1,resident,full resident,full resident
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Cathartes aura,80.27,151,Colombia,0.090340795,11.019911,-74.213309,LC,High,Cathartes aura,0,NA,Cathartiformes,LC,No,Volant,1518.2,26.9,Human Modified,Scavenger,Scavenger,6.76,,51.5,27.6,14.3,17.2,54,508.5,135.6,369,244,Cathartes,aura,Cathartidae,LC,0,17.1551615597882,7.32530704822545,Ca,GroundForaging,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,0.693147180559945,1.26367398575231,3.38439026334577,926,ACCIPITRIFORMES,Cathartidae,Cathartes,aura,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"N popltns almost wholly migratory, mainly resident in S, somewhat nomadic in extreme S with some moving variable distance N after breeding",1,directional migratory,partial directional migrant,partial directional migrant
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Coccyzus americanus,80.27,151,Colombia,0.060227197,11.019911,-74.213309,LC,Medium,Coccyzus americanus,0,NA,Cuculiformes,LC,No,Volant,64,43,Forest,Carnivore,Invertivore,36.04,,29.2,20,7,8.2,24.5,143.4,62.4,82.6,146.3,Coccyzus,americanus,Cuculidae,LC,0,15.4775868397668,4.15888308335967,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.38629436111989,1.62073597705263,3.9963641538619,2701,CUCULIFORMES,Cuculidae,Coccyzus,americanus,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,directional migratory,full directional migrant,full directional migrant
Adarraga-Caballero_&_Gutierrez-Moreno_2019,Columba livia,80.27,151,Colombia,0.030113598,11.019911,-74.213309,LC,Medium,Columba livia,0,NA,Columbiformes,LC,No,Volant,354.2,45.1,Human Modified,Herbivore,Granivore,33.52,,23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,105.5,Columba,livia,Columbidae,LC,0,16.6721248859826,5.86986172534873,Seeds,GroundForaging,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147180559945,1.2981640707689,4.66908351173174,1874,COLUMBIFORMES,Columbidae,Columba,livia,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"natural popltns resident, may make local movements in seasonally arid areas",1,resident,full resident,full resident
